date,num,status_str
2023-06-12,12,恐惧
2023-06-13,17,恐惧
2023-06-14,17,恐惧
2023-06-15,24,恐惧
2023-06-16,43,中立
2023-06-17,43,中立
2023-06-18,43,中立
2023-06-19,44,中立
2023-06-20,55,中立
2023-06-21,32,中立
2023-06-22,32,中立
2023-06-23,32,中立
2023-06-26,23,恐惧
2023-06-27,31,中立
2023-06-29,35,中立
2023-07-01,41,中立
2023-07-02,41,中立
2023-07-06,35,中立
2023-07-07,28,恐惧
2023-07-08,28,恐惧
2023-07-09,28,恐惧
2023-07-10,26,恐惧
2023-07-12,24,恐惧
2023-07-14,46,中立
2023-07-15,46,中立
2023-07-16,46,中立
2023-07-17,38,中立
2023-07-20,17,恐惧
2023-07-21,27,恐惧
2023-07-22,27,恐惧
2023-07-23,27,恐惧
2023-07-25,74,贪婪
2023-07-26,75,贪婪
2023-07-27,70,中立
2023-07-28,90,极度贪婪
2023-07-29,90,极度贪婪
2023-07-30,90,极度贪婪
2023-07-31,95,极度贪婪
2023-08-01,92,极度贪婪
2023-08-03,94,极度贪婪
2023-08-04,94,极度贪婪
2023-08-05,94,极度贪婪
2023-08-06,94,极度贪婪
2023-08-07,90,极度贪婪
2023-08-08,81,贪婪
2023-08-12,28,恐惧
