,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
0,sz.300124,汇川技术,10,24.20%,26.95%,21.81%,12.81%,20.00%,20.90%,21.24%,21.50%,20.38%,19.44%
1,sh.600436,片仔癀,10,23.51%,27.68%,23.07%,23.60%,24.98%,21.16%,16.13%,15.39%,16.21%,21.45%
2,sz.000596,古井贡酒,10,17.93%,17.29%,19.53%,25.35%,24.11%,19.06%,15.91%,15.88%,15.07%,17.48%
3,sz.000333,美的集团,10,22.07%,23.58%,24.84%,26.21%,25.80%,25.63%,26.62%,28.66%,29.04%,22.55%
4,sh.600690,海尔智家,10,16.98%,17.82%,15.48%,18.80%,20.78%,23.65%,20.53%,19.31%,27.50%,32.57%
5,sh.600406,国电南瑞,10,16.02%,15.64%,15.00%,14.90%,17.65%,22.96%,17.12%,17.09%,19.41%,32.15%
6,sh.600309,万华化学,10,22.34%,42.03%,22.03%,26.61%,34.75%,52.90%,27.88%,14.53%,23.87%,32.16%
7,sh.600036,招商银行,10,15.30%,15.16%,14.58%,16.13%,15.79%,15.90%,16.27%,17.09%,19.28%,22.21%
8,sz.000651,格力电器,10,24.46%,21.08%,19.68%,24.52%,33.40%,37.51%,30.42%,27.34%,35.96%,35.45%
9,sz.000661,长春高新,10,25.38%,29.46%,32.04%,26.53%,20.71%,15.90%,17.08%,23.75%,23.99%,26.76%
10,sz.000858,五粮液,10,25.05%,25.30%,24.94%,25.26%,22.91%,19.27%,15.01%,14.93%,15.45%,23.71%
11,sz.002304,洋河股份,10,20.85%,18.54%,19.95%,21.05%,25.70%,23.85%,23.79%,25.15%,24.29%,31.18%
12,sh.600438,通威股份,10,52.34%,24.13%,15.00%,16.31%,14.38%,16.09%,14.46%,13.71%,14.34%,16.34%
13,sh.600763,通策医疗,10,17.71%,27.94%,25.03%,29.87%,28.78%,23.93%,16.61%,26.52%,19.17%,21.40%
