,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
0,sz.000858,五粮液,10,25.05%,25.30%,24.94%,25.26%,22.91%,19.27%,15.01%,14.93%,15.45%,23.71%
1,sh.600519,贵州茅台,10,32.41%,29.90%,31.41%,33.12%,34.46%,32.95%,24.44%,26.42%,31.96%,39.43%
2,sh.600887,伊利股份,10,19.25%,22.29%,25.05%,25.66%,24.29%,24.91%,26.29%,23.99%,23.85%,27.17%
3,sz.002304,洋河股份,10,20.85%,18.54%,19.95%,21.05%,25.70%,23.85%,23.79%,25.15%,24.29%,31.18%
4,sz.000895,双汇发展,10,25.17%,20.90%,31.08%,36.91%,35.62%,29.97%,28.42%,26.35%,27.07%,29.58%
5,sz.000568,泸州老窖,9,33.30%,31.13%,28.27%,25.53%,21.69%,19.52%,18.10%,14.74%,8.68%,33.92%
6,sh.603369,今世缘,9,24.58%,23.11%,20.25%,21.92%,20.26%,18.14%,17.44%,18.09%,22.14%,
7,sh.600598,北大荒,8,13.65%,12.19%,14.55%,12.90%,15.59%,13.15%,12.82%,11.65%,15.15%,-7.44%
8,sh.603198,迎驾贡酒,8,26.45%,24.89%,19.28%,20.48%,18.42%,16.56%,18.01%,17.08%,,
9,sh.603589,口子窖,8,18.07%,22.30%,17.90%,26.11%,27.24%,23.88%,19.81%,20.36%,,
10,sh.603866,桃李面包,8,12.85%,15.63%,20.59%,19.08%,19.53%,19.69%,22.19%,23.87%,,
11,sh.600197,伊力特,7,4.50%,8.72%,10.80%,16.76%,18.39%,17.28%,14.79%,16.28%,17.21%,19.66%
12,sh.600298,安琪酵母,7,16.40%,20.54%,25.12%,19.34%,21.06%,23.88%,17.01%,9.56%,5.30%,5.41%
13,sh.600872,中炬高新,7,-17.31%,17.57%,20.78%,19.01%,18.01%,15.26%,13.64%,10.16%,12.78%,10.43%
14,sz.002557,洽洽食品,7,19.40%,20.63%,20.48%,17.29%,13.55%,10.62%,12.19%,13.04%,11.01%,9.84%
15,sh.600779,水井坊,7,39.93%,50.30%,34.43%,41.64%,33.72%,22.00%,16.34%,7.07%,-29.57%,-8.74%
16,sz.002597,金禾实业,7,26.33%,21.82%,15.24%,19.25%,24.74%,34.58%,24.60%,10.87%,8.95%,8.39%
17,sz.002626,金达威,7,6.74%,21.32%,30.28%,15.21%,24.98%,20.39%,16.54%,7.82%,14.20%,7.90%
18,sh.603968,醋化股份,7,20.68%,9.97%,15.11%,14.64%,14.46%,12.39%,12.58%,12.93%,,
19,sh.603886,元祖股份,7,16.55%,21.97%,20.07%,17.43%,18.80%,17.79%,16.58%,,,
20,sh.603043,广州酒家,6,16.50%,20.19%,19.62%,18.56%,21.01%,25.70%,,,,
21,sz.002847,盐津铺子,6,30.03%,17.41%,29.62%,18.11%,11.41%,14.61%,30.95%,,,
22,sz.000869,张裕A,5,4.08%,4.83%,4.58%,11.35%,11.26%,12.06%,12.46%,14.30%,14.99%,17.29%
23,sz.002568,百润股份,5,13.80%,19.01%,20.53%,15.31%,6.68%,10.80%,-11.33%,60.80%,8.84%,6.55%
24,sh.603517,绝味食品,5,3.69%,18.39%,14.72%,21.11%,22.89%,24.86%,,,,
25,sh.600419,天润乳业,4,8.68%,7.90%,11.36%,14.33%,12.99%,12.59%,11.20%,10.98%,4.83%,19.49%
26,sz.002299,圣农发展,4,4.14%,4.61%,20.34%,44.70%,21.50%,5.18%,12.19%,-9.22%,2.42%,-6.84%
