,code,name,this_year_yield,past_week_yield,past_month_yield,past_quarter_yield,past_half_year_yield,past_year_yield
0,sh.603185,上机数控,-61.40%,-8.07%,-14.71%,-50.06%,-63.88%,-74.89%
1,sh.600188,兖矿能源,-49.38%,0.23%,-3.01%,-47.96%,-52.02%,-63.14%
2,sh.600732,爱旭股份,-44.45%,-8.68%,-21.67%,-43.84%,-41.99%,-46.97%
3,sh.603392,万泰生物,-56.95%,-9.60%,-17.77%,-43.50%,-56.55%,-57.93%
4,sz.300759,康龙化成,-60.33%,-5.91%,-29.39%,-43.23%,-55.61%,-62.05%
5,sz.002129,TCL中环,-37.08%,-7.78%,-16.68%,-42.86%,-45.04%,-56.70%
6,sh.603806,福斯特,-58.77%,-8.26%,-13.11%,-42.56%,-59.41%,-59.99%
7,sh.605117,德业股份,-73.20%,-11.04%,-31.80%,-42.43%,-73.33%,-79.57%
8,sz.300769,德方纳米,-54.23%,-13.35%,-6.90%,-42.31%,-54.75%,-73.78%
9,sz.300122,智飞生物,-51.34%,-3.45%,-7.36%,-40.82%,-52.09%,-52.29%
10,sz.002459,晶澳科技,-57.80%,-8.52%,-18.67%,-38.68%,-55.85%,-62.58%
11,sz.300015,爱尔眼科,-42.59%,-3.10%,-10.80%,-38.06%,-44.06%,-38.11%
12,sh.603288,海天味业,-48.73%,-6.26%,-8.96%,-37.75%,-50.06%,-48.90%
13,sh.600089,特变电工,-27.86%,-5.15%,-9.51%,-36.13%,-32.04%,-43.27%
14,sz.300661,圣邦股份,-57.63%,-7.09%,-13.18%,-36.07%,-55.22%,-56.46%
15,sz.300628,亿联网络,-40.66%,3.14%,-12.40%,-34.85%,-45.74%,-50.82%
16,sh.688599,天合光能,-50.30%,-4.54%,-6.62%,-34.54%,-45.69%,-54.73%
17,sh.600039,四川路桥,-15.00%,-1.38%,-3.93%,-33.88%,-26.50%,-10.59%
18,sh.603195,公牛集团,-26.96%,4.07%,9.31%,-32.75%,-35.86%,-30.58%
19,sz.300763,锦浪科技,-59.15%,-10.43%,-22.36%,-32.42%,-52.90%,-73.91%
20,sz.300347,泰格医药,-41.34%,-8.78%,-7.16%,-31.15%,-46.63%,-39.91%
21,sz.002410,广联达,-60.28%,-15.45%,-10.28%,-30.68%,-58.14%,-50.89%
22,sz.002756,永兴材料,-49.76%,-5.74%,-8.48%,-30.42%,-48.31%,-69.21%
23,sz.002414,高德红外,-34.22%,-3.15%,-10.98%,-29.24%,-38.55%,-51.16%
24,sz.002812,恩捷股份,-45.57%,-22.57%,-22.00%,-27.33%,-44.12%,-65.70%
25,sz.002180,纳思达,-44.90%,-8.85%,-11.39%,-27.25%,-44.49%,-40.50%
26,sh.600460,士兰微,-27.52%,-8.85%,-18.64%,-27.08%,-28.93%,-42.52%
27,sz.002709,天赐材料,-26.83%,-9.22%,-3.33%,-26.98%,-27.71%,-40.38%
28,sz.300014,亿纬锂能,-43.10%,-10.18%,-8.91%,-26.59%,-31.62%,-57.78%
29,sh.600760,中航沈飞,-28.20%,2.00%,-2.76%,-26.35%,-25.75%,-31.89%
30,sh.688223,晶科能源,-32.98%,-4.50%,-16.69%,-25.58%,-33.82%,-41.36%
31,sz.002466,天齐锂业,-29.45%,-5.61%,-8.95%,-25.31%,-30.21%,-52.59%
32,sz.300316,晶盛机电,-14.75%,-3.59%,-12.47%,-25.27%,-19.44%,-34.36%
33,sz.002460,赣锋锂业,-33.00%,-8.03%,-14.33%,-24.83%,-34.92%,-48.87%
34,sh.601012,隆基绿能,-40.97%,-11.20%,-12.46%,-23.52%,-44.51%,-54.23%
35,sz.000661,长春高新,-26.27%,-5.08%,-9.45%,-22.26%,-33.51%,-28.96%
36,sh.600438,通威股份,-20.97%,-6.76%,-7.80%,-21.68%,-26.65%,-48.18%
37,sz.300223,北京君正,0.08%,-4.96%,-20.91%,-21.61%,-7.43%,-17.98%
38,sz.300274,阳光电源,-18.32%,-11.74%,-11.67%,-21.33%,-21.76%,-34.74%
39,sz.300450,先导智能,-30.13%,-6.23%,-12.82%,-21.29%,-34.47%,-53.32%
40,sz.300142,沃森生物,-41.17%,-11.31%,-11.28%,-20.14%,-38.99%,-45.33%
41,sh.601360,三六零,60.39%,-2.79%,-7.84%,-19.57%,-7.76%,45.10%
42,sh.600276,恒瑞医药,0.68%,-5.63%,-18.16%,-19.48%,-10.40%,11.79%
43,sh.688005,容百科技,-30.94%,-8.05%,1.72%,-19.46%,-32.35%,-57.11%
44,sh.688008,澜起科技,-22.62%,-0.66%,-17.34%,-19.42%,-16.97%,-12.30%
45,sh.601669,中国电建,-22.82%,-3.86%,-3.35%,-19.05%,-20.81%,-29.83%
46,sh.688012,中微公司,29.45%,-3.15%,-2.10%,-19.00%,20.92%,-5.00%
47,sh.601615,明阳智能,-42.86%,-10.22%,-8.27%,-18.76%,-40.58%,-48.12%
48,sh.603986,兆易创新,-12.69%,-4.66%,-18.78%,-18.68%,-15.81%,-23.78%
49,sh.600745,闻泰科技,-21.06%,-3.72%,-3.83%,-18.62%,-23.46%,-37.59%
50,sz.000983,山西焦煤,-27.45%,0.36%,-3.23%,-17.76%,-36.75%,-36.66%
51,sz.002120,韵达股份,-33.54%,-5.45%,0.10%,-17.71%,-25.13%,-46.68%
52,sh.600009,上海机场,-30.58%,-14.98%,-10.80%,-17.56%,-33.43%,-30.29%
53,sz.002241,歌尔股份,-13.61%,-7.79%,-13.71%,-17.45%,-28.92%,-59.04%
54,sh.603290,斯达半导,-41.93%,-2.62%,-9.88%,-17.29%,-35.86%,-53.35%
55,sh.603019,中科曙光,71.77%,-2.03%,-15.08%,-16.99%,24.11%,37.38%
56,sz.002916,深南电路,-15.28%,-13.93%,-19.90%,-16.84%,-23.19%,-31.56%
57,sh.601699,潞安环能,-5.44%,-1.54%,-2.92%,-16.55%,-28.95%,2.96%
58,sz.002371,北方华创,9.04%,-3.99%,-6.10%,-16.06%,5.81%,-16.23%
59,sz.002074,国轩高科,-20.09%,-6.77%,-8.69%,-16.04%,-20.71%,-45.55%
60,sh.601888,中国中免,-48.46%,-5.54%,-0.84%,-16.03%,-44.13%,-42.82%
61,sh.600406,国电南瑞,-9.87%,-3.37%,-4.99%,-15.84%,-12.59%,-22.25%
62,sh.600570,恒生电子,-16.21%,-8.11%,-4.18%,-15.56%,-21.12%,12.07%
63,sz.300760,迈瑞医疗,-14.28%,-1.78%,-10.35%,-15.19%,-15.28%,-9.64%
64,sz.300207,欣旺达,-36.32%,-8.16%,-10.82%,-14.93%,-36.15%,-58.09%
65,sz.000617,中油资本,19.20%,-2.57%,0.15%,-14.84%,14.21%,38.26%
66,sh.601998,中信银行,11.85%,0.00%,-2.11%,-14.83%,13.67%,28.34%
67,sz.002938,鹏鼎控股,-26.54%,-5.65%,-14.27%,-14.59%,-28.21%,-37.91%
68,sh.601607,上海医药,2.87%,-5.04%,-8.22%,-14.46%,-3.82%,10.62%
69,sh.600884,杉杉股份,-27.58%,-6.13%,-10.52%,-14.42%,-26.33%,-54.52%
70,sz.300999,金龙鱼,-19.93%,-4.54%,-13.37%,-14.34%,-25.11%,-24.19%
71,sh.601919,中远海控,-9.24%,-2.10%,-5.28%,-14.25%,-12.97%,-32.00%
72,sz.300896,爱美客,-26.21%,-4.95%,-7.76%,-13.82%,-30.03%,-25.10%
73,sz.002841,视源股份,-12.83%,-6.17%,-12.72%,-13.80%,-24.40%,-24.73%
74,sh.603260,合盛硅业,-27.09%,-4.84%,-13.15%,-13.68%,-36.28%,-54.73%
75,sz.000963,华东医药,-20.48%,-6.44%,-17.50%,-13.45%,-23.95%,-10.90%
76,sh.600795,国电电力,-21.43%,-5.01%,-5.01%,-13.01%,-11.66%,-20.51%
77,sz.000938,紫光股份,24.20%,-2.17%,-10.44%,-12.82%,6.98%,40.09%
78,sz.002049,紫光国微,-38.31%,-2.67%,-6.14%,-12.71%,-26.44%,-65.79%
79,sz.002555,三七互娱,32.60%,-4.25%,-9.87%,-12.44%,8.19%,20.21%
80,sh.600803,新奥股份,12.42%,-2.65%,-4.20%,-12.36%,-4.56%,-10.53%
81,sz.002202,金风科技,-13.82%,-9.66%,-10.07%,-12.34%,-14.87%,-28.67%
82,sz.300919,中伟股份,-20.50%,-9.56%,-8.71%,-12.27%,-24.00%,-50.29%
83,sh.601225,陕西煤业,-11.78%,2.11%,2.36%,-12.15%,-16.43%,-25.93%
84,sz.000792,盐湖股份,-25.11%,-6.69%,-9.38%,-12.05%,-29.99%,-39.93%
85,sh.600196,复星医药,-22.41%,-5.93%,-10.59%,-11.74%,-18.05%,-33.49%
86,sh.601865,福莱特,-9.16%,-4.89%,-9.30%,-11.55%,-11.65%,-28.70%
87,sz.300957,贝泰妮,-37.77%,-4.82%,-1.00%,-11.35%,-33.50%,-49.48%
88,sh.600887,伊利股份,-14.14%,-2.95%,-3.34%,-11.34%,-13.88%,-25.60%
89,sh.600436,片仔癀,-4.11%,-5.31%,-1.91%,-11.27%,-11.63%,-6.49%
90,sh.600763,通策医疗,-30.41%,-3.59%,-4.19%,-11.27%,-34.35%,-15.08%
91,sh.600588,用友网络,-30.48%,-5.62%,-4.58%,-10.91%,-24.97%,-20.41%
92,sz.300454,深信服,-14.31%,-4.79%,-0.74%,-10.86%,-23.27%,8.19%
93,sz.002821,凯莱英,-18.81%,-6.28%,0.55%,-10.40%,-17.52%,-29.14%
94,sz.002352,顺丰控股,-23.85%,-5.09%,-5.09%,-10.06%,-18.08%,-11.52%
95,sz.002594,比亚迪,-11.67%,-5.78%,-10.64%,-9.98%,-14.01%,-28.46%
96,sh.600845,宝信软件,3.49%,-2.76%,-4.82%,-9.84%,-2.38%,21.80%
97,sz.002311,海大集团,-26.61%,-5.10%,-5.48%,-9.46%,-28.82%,-28.68%
98,sh.600600,青岛啤酒,-12.81%,-0.84%,-4.15%,-9.39%,-11.24%,-8.82%
99,sh.600233,圆通速递,-27.58%,-3.40%,-5.98%,-9.22%,-21.02%,-31.00%
100,sz.000708,中信特钢,-17.35%,-8.45%,-8.09%,-9.15%,-29.63%,-24.79%
101,sh.688561,奇安信,-28.46%,1.03%,2.90%,-9.02%,-32.15%,-4.98%
102,sh.603833,欧派家居,-23.96%,-6.78%,-0.38%,-9.02%,-34.29%,-23.02%
103,sh.600111,北方稀土,-14.75%,-6.59%,-7.06%,-8.88%,-25.09%,-29.90%
104,sh.600011,华能国际,8.47%,-6.64%,-7.34%,-8.82%,8.47%,4.00%
105,sh.603659,璞泰来,-32.32%,-6.48%,-6.73%,-8.72%,-31.47%,-49.56%
106,sh.603501,韦尔股份,14.35%,0.64%,-12.42%,-8.51%,1.78%,-13.34%
107,sh.601877,正泰电器,-9.55%,-3.82%,-8.66%,-8.12%,-17.74%,-33.24%
108,sh.600346,恒力石化,-9.94%,-4.97%,-3.08%,-7.70%,-21.09%,-28.62%
109,sz.300496,中科创达,-25.50%,-6.58%,-13.73%,-7.64%,-17.09%,-40.90%
110,sh.600115,中国东航,-19.41%,-6.24%,-8.02%,-7.63%,-18.35%,-9.54%
111,sh.600905,三峡能源,-14.21%,-3.65%,-5.29%,-7.56%,-10.22%,-21.23%
112,sh.688187,时代电气,-24.63%,5.23%,0.12%,-7.54%,-18.34%,-35.78%
113,sh.601898,中煤能源,-6.45%,0.98%,-5.27%,-7.49%,-6.13%,-16.80%
114,sh.600754,锦江酒店,-25.50%,-6.19%,-5.34%,-7.32%,-30.13%,-25.07%
115,sz.002714,牧原股份,-16.17%,-3.52%,-6.95%,-7.17%,-20.12%,-32.70%
116,sh.600332,白云山,0.40%,-3.50%,-2.94%,-7.16%,-1.33%,11.14%
117,sh.601628,中国人寿,-4.63%,-2.70%,10.76%,-6.79%,-1.49%,29.82%
118,sh.601088,中国神华,0.11%,2.34%,1.67%,-6.69%,0.68%,-8.25%
119,sh.603799,华友钴业,-19.13%,-9.25%,-7.72%,-6.62%,-22.73%,-45.85%
120,sh.601989,中国重工,21.88%,-2.28%,-5.71%,-6.54%,15.95%,11.43%
121,sh.601117,中国化学,-2.47%,-3.78%,-4.36%,-6.52%,-13.30%,-13.68%
122,sh.600893,航发动力,-12.65%,0.42%,-5.04%,-6.48%,-16.76%,-24.56%
123,sz.000069,华侨城A,-16.64%,-6.17%,-2.00%,-6.37%,-16.79%,-18.63%
124,sh.603899,晨光股份,-22.38%,-4.70%,-1.86%,-6.18%,-22.74%,-0.14%
125,sz.001289,龙源电力,0.26%,-1.04%,-6.99%,-6.02%,4.96%,-20.67%
126,sh.600875,东方电气,-23.14%,-1.48%,-9.21%,-5.86%,-12.60%,-7.67%
127,sh.600919,江苏银行,-3.69%,-0.84%,1.15%,-5.75%,-2.49%,2.17%
128,sz.000001,平安银行,-18.30%,-4.09%,-0.09%,-5.70%,-18.83%,-8.83%
129,sh.600132,重庆啤酒,-27.48%,6.98%,4.08%,-5.49%,-32.49%,-16.72%
130,sh.601658,邮储银行,4.72%,-0.41%,2.74%,-5.24%,7.49%,10.91%
131,sh.688111,金山办公,31.18%,-0.76%,-10.33%,-5.23%,32.52%,112.77%
132,sh.600183,生益科技,-5.93%,-3.05%,-9.79%,-5.18%,-17.12%,-14.34%
133,sh.603486,科沃斯,-6.28%,-4.04%,-2.93%,-5.18%,-26.22%,-22.64%
134,sh.601111,中国国航,-19.33%,-6.33%,-4.53%,-5.07%,-22.16%,-17.03%
135,sh.688981,中芯国际,15.29%,0.72%,-2.27%,-4.90%,14.11%,17.78%
136,sz.000301,东方盛虹,-14.01%,-5.13%,-2.50%,-4.89%,-27.86%,-49.49%
137,sz.300601,康泰生物,-16.07%,-4.57%,-7.07%,-4.87%,-23.55%,-19.96%
138,sz.000858,五粮液,-10.21%,-4.01%,-5.52%,-4.87%,-20.43%,-4.76%
139,sh.600926,杭州银行,-13.31%,-1.71%,1.95%,-4.87%,-5.88%,-12.32%
140,sh.600036,招商银行,-17.91%,-3.50%,-1.91%,-4.84%,-17.65%,-6.80%
141,sh.601698,中国卫通,37.46%,-1.34%,-8.83%,-4.70%,19.35%,47.86%
142,sz.002304,洋河股份,-15.76%,-3.32%,-0.70%,-4.64%,-21.47%,-22.41%
143,sh.601601,中国太保,14.21%,-4.68%,4.51%,-4.58%,-1.23%,39.25%
144,sh.601166,兴业银行,-10.47%,-1.06%,1.60%,-4.56%,-5.86%,-9.65%
145,sh.688396,华润微,3.36%,-2.04%,0.92%,-4.51%,0.95%,-0.31%
