,code,name,this_year_yield,past_week_yield,past_month_yield,past_quarter_yield,past_half_year_yield,past_year_yield
0,sh.688089,嘉必优,-57.53%,-0.46%,-6.45%,-33.89%,-46.10%,-46.91%
1,sz.002568,百润股份,-19.87%,-0.69%,-11.46%,-20.77%,-31.62%,2.63%
2,sh.603043,广州酒家,-8.51%,-0.52%,-10.31%,-19.51%,-24.57%,4.98%
3,sz.002557,洽洽食品,-31.54%,-1.98%,-4.92%,-19.18%,-24.75%,-26.69%
4,sh.600419,天润乳业,-12.79%,0.30%,-5.00%,-18.15%,-19.30%,-5.94%
5,sh.603866,桃李面包,-44.44%,-3.23%,-7.28%,-16.50%,-46.05%,-36.60%
6,sz.003000,劲仔食品,-5.87%,1.83%,-5.11%,-15.42%,-28.45%,-12.19%
7,sh.600600,青岛啤酒,-16.84%,-1.32%,-7.25%,-13.37%,-28.37%,-14.64%
8,sz.002661,克明食品,-15.19%,0.31%,-2.87%,-11.04%,-15.77%,-10.39%
9,sh.600197,伊力特,-4.47%,0.48%,-9.53%,-10.62%,-12.95%,7.96%
10,sz.002991,甘源食品,-5.13%,-0.82%,-5.26%,-9.13%,-18.33%,19.48%
11,sh.601952,苏垦农发,-9.77%,-8.85%,-11.49%,-9.01%,-8.62%,-6.71%
12,sz.002847,盐津铺子,-29.10%,-0.17%,-5.39%,-8.92%,-44.50%,-15.57%
13,sz.000930,中粮科技,-19.10%,-0.29%,-2.97%,-7.92%,-19.58%,-13.60%
14,sh.603968,醋化股份,-25.41%,0.18%,-1.74%,-7.41%,-14.46%,-14.73%
15,sh.600887,伊利股份,-13.58%,-0.41%,0.34%,-7.30%,-8.96%,-17.86%
16,sh.600298,安琪酵母,-23.62%,-1.32%,0.24%,-6.67%,-17.83%,-17.77%
17,sh.600872,中炬高新,-4.66%,0.12%,-3.25%,-6.65%,-6.55%,13.21%
18,sh.603566,普莱柯,-23.12%,-2.47%,-3.09%,-6.54%,-30.70%,-25.23%
19,sz.002216,三全食品,-15.88%,-0.67%,-2.45%,-5.46%,-9.69%,-10.02%
20,sh.600559,老白干酒,-14.01%,-1.82%,-8.88%,-5.27%,-37.28%,2.97%
21,sz.000869,张裕A,-1.13%,-2.53%,-4.88%,-5.03%,-7.67%,2.31%
22,sz.000858,五粮液,-12.40%,-0.31%,-7.04%,-4.99%,-17.43%,-1.76%
23,sz.002956,西麦食品,-2.67%,0.14%,-3.92%,-4.11%,-4.24%,18.11%
24,sh.600195,中牧股份,-3.75%,-0.70%,-4.16%,-4.00%,-24.23%,-16.68%
25,sh.600598,北大荒,-4.78%,-0.83%,-4.91%,-3.24%,-1.72%,0.00%
26,sh.600097,开创国际,-11.18%,0.86%,-2.60%,-2.70%,-15.28%,5.28%
27,sz.002626,金达威,-13.90%,-1.26%,0.22%,-2.53%,-23.64%,0.56%
28,sh.600073,上海梅林,-7.90%,-2.30%,-6.83%,-1.36%,-17.84%,-3.34%
29,sz.002304,洋河股份,-17.65%,-0.83%,-8.45%,-1.01%,-18.44%,-16.18%
30,sh.600597,光明乳业,-3.38%,0.39%,-3.47%,-0.96%,-2.28%,0.88%
31,sh.603020,爱普股份,-8.52%,0.66%,-0.33%,-0.54%,-5.49%,-6.17%
32,sz.002461,珠江啤酒,10.97%,-0.34%,-4.61%,-0.34%,-7.74%,19.34%
33,sh.603886,元祖股份,-2.63%,-0.54%,-3.44%,-0.05%,-2.22%,7.54%
34,sh.600779,水井坊,-26.91%,-1.44%,-15.32%,0.60%,-18.92%,2.43%
35,sz.300741,华宝股份,-8.33%,0.40%,-4.86%,0.68%,-12.15%,-0.40%
36,sz.002597,金禾实业,-29.74%,-0.26%,-0.78%,1.01%,-24.41%,-37.92%
37,sh.600737,中粮糖业,18.19%,1.10%,-6.14%,1.10%,-3.51%,16.20%
38,sz.000568,泸州老窖,-1.46%,-2.46%,-10.17%,1.87%,-12.99%,3.01%
39,sz.002299,圣农发展,-17.63%,-1.84%,-4.19%,2.13%,-22.14%,-6.75%
40,sh.600299,安迪苏,-1.79%,-0.84%,0.00%,2.74%,-10.71%,-15.99%
41,sh.603589,口子窖,-7.57%,-0.73%,-15.25%,3.46%,-22.88%,15.67%
42,sz.300119,瑞普生物,-2.51%,-1.51%,-2.09%,5.18%,-16.34%,-8.09%
43,sh.600519,贵州茅台,3.96%,-0.85%,-3.61%,5.61%,0.42%,0.70%
44,sh.600873,梅花生物,-5.69%,0.42%,5.02%,8.21%,2.23%,-1.33%
45,sz.000895,双汇发展,2.64%,-0.90%,-0.90%,8.91%,1.19%,8.20%
46,sh.603517,绝味食品,-36.31%,-0.97%,1.90%,11.81%,-14.98%,-22.11%
47,sh.603369,今世缘,17.58%,-2.48%,-9.81%,12.14%,-9.95%,33.74%
48,sh.603198,迎驾贡酒,20.89%,-1.38%,-7.08%,20.51%,12.88%,33.73%
